path,T,theta_0,theta_1,theta_2,theta_3
1,20,-0.5389585608015737,1.5863818264673517,-0.46259970371658227,1.523634873317181
2,20,-1.1178883149361236,1.7013430123827329,-1.6227782815596332,2.75429767749458
3,20,-1.1269141710984425,1.4777356335472662,-1.5034178782034362,2.3091083991737236
4,20,-0.35737808728729537,1.1459924993451964,-0.06081747441976997,1.0535844314777774
5,20,-0.9006135236617694,1.8164478288932027,-1.6861984384270572,2.2586800456051446
1,50,-0.21067366667454443,1.4359031071710233,0.6077901147169089,0.43889017472252806
2,50,-1.0950403347614182,1.6083276946339564,-1.0017402445859838,2.1994757203732482
3,50,-1.5851503959616624,1.742426634281665,-1.9003000882245134,2.8096018407134062
4,50,-0.017750673969724257,1.045782376439013,-0.06440063573897128,1.488793488486679
5,50,-0.615381706490855,1.5824312054794736,-1.9144587126122412,2.2734174768987767
1,100,-0.36743730780192224,1.5826666765941304,0.5495290825619077,0.7377357167263094
2,100,-1.0816214920542782,1.4717390042181,-0.720448585106425,1.9238986208487208
3,100,-1.5258277511632252,1.4758872600854702,-1.5672209304071063,2.7066052436314463
4,100,0.13543205656835544,0.993450821578497,-0.16356582656013888,1.569220533261982
5,100,-0.7497723144740104,1.840394440553857,-3.010873672750197,3.46329402791729
1,200,-0.5896033410243366,1.5124201727254143,0.4987323735859486,1.2686022832746
2,200,-0.8939143384646638,1.3270849074807771,-0.8396542290393364,1.5883959617607657
3,200,-1.4646422071315637,1.3715318403243297,-1.5062888998366897,2.6201804328852853
4,200,0.08302898985983113,0.7753931635851641,-0.529485742819813,1.5561609120854034
5,200,-0.6753525772804032,1.8453289735033669,-3.136628867611532,3.723371982221873
1,500,-0.5595504555999561,1.752656576193346,0.6102638123499826,1.3629654122062502
2,500,-0.9482927122658471,1.3783099404974164,-0.9780902160190746,1.6558286313454247
3,500,-1.6497075970812927,1.0730732527400015,-1.5399739737234581,2.9783587540481395
4,500,0.07486661799308603,0.8194823681038885,-0.5777386709883934,1.2874370854627126
5,500,-0.7272029446093423,1.946460139557988,-3.6094302912087772,4.232297227605879
